movieId,title,genres
movieId 65,Bio-Dome (1996),Comedy
movieId 66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
movieId 68,French Twist (Gazon maudit) (1995),Comedy|Romance
movieId 69,Friday (1995),Comedy
movieId 70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
movieId 71,Fair Game (1995),Action
movieId 72,Kicking and Screaming (1995),Comedy|Drama
movieId 73,"Misérables, Les (1995)",Drama|War
movieId 74,Bed of Roses (1996),Drama|Romance
movieId 75,Big Bully (1996),Comedy|Drama
movieId 76,Screamers (1995),Action|Sci-Fi|Thriller
movieId 77,Nico Icon (1995),Documentary
movieId 78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
movieId 79,"Juror, The (1996)",Drama|Thriller
movieId 80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
movieId 81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
movieId 82,Antonia's Line (Antonia) (1995),Comedy|Drama
movieId 83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
movieId 85,Angels and Insects (1995),Drama|Romance
movieId 86,White Squall (1996),Action|Adventure|Drama
movieId 87,Dunston Checks In (1996),Children|Comedy
movieId 88,Black Sheep (1996),Comedy
movieId 89,Nick of Time (1995),Action|Thriller
movieId 92,Mary Reilly (1996),Drama|Horror|Thriller
movieId 93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
movieId 94,Beautiful Girls (1996),Comedy|Drama|Romance
movieId 95,Broken Arrow (1996),Action|Adventure|Thriller
movieId 96,In the Bleak Midwinter (1995),Comedy|Drama
movieId 97,"Hate (Haine, La) (1995)",Crime|Drama
movieId 99,Heidi Fleiss: Hollywood Madam (1995),Documentary
movieId 100,City Hall (1996),Drama|Thriller
movieId 101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
movieId 102,Mr. Wrong (1996),Comedy
movieId 103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
movieId 104,Happy Gilmore (1996),Comedy
movieId 105,"Bridges of Madison County, The (1995)",Drama|Romance
movieId 106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
movieId 107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
movieId 108,Catwalk (1996),Documentary
movieId 110,Braveheart (1995),Action|Drama|War
movieId 111,Taxi Driver (1976),Crime|Drama|Thriller
movieId 112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
movieId 113,Before and After (1996),Drama|Mystery
movieId 116,Anne Frank Remembered (1995),Documentary
movieId 117,"Young Poisoner's Handbook, The (1995)",Crime|Drama
movieId 118,If Lucy Fell (1996),Comedy|Romance
movieId 119,"Steal Big, Steal Little (1995)",Comedy
movieId 121,"Boys of St. Vincent, The (1992)",Drama
movieId 122,Boomerang (1992),Comedy|Romance
movieId 123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
movieId 125,Flirting With Disaster (1996),Comedy
movieId 126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
movieId 128,Jupiter's Wife (1994),Documentary
movieId 129,Pie in the Sky (1996),Comedy|Romance
movieId 132,Jade (1995),Thriller
movieId 135,Down Periscope (1996),Comedy
movieId 137,Man of the Year (1995),Documentary
movieId 140,Up Close and Personal (1996),Drama|Romance
movieId 141,"Birdcage, The (1996)",Comedy
movieId 144,"Brothers McMullen, The (1995)",Comedy
movieId 145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
movieId 146,"Amazing Panda Adventure, The (1995)",Adventure|Children
movieId 147,"Basketball Diaries, The (1995)",Drama
movieId 148,"Awfully Big Adventure, An (1995)",Drama
movieId 149,Amateur (1994),Crime|Drama|Thriller
movieId 150,Apollo 13 (1995),Adventure|Drama|IMAX
movieId 151,Rob Roy (1995),Action|Drama|Romance|War
movieId 152,"Addiction, The (1995)",Drama|Horror
movieId 153,Batman Forever (1995),Action|Adventure|Comedy|Crime
movieId 154,Beauty of the Day (Belle de jour) (1967),Drama
movieId 155,Beyond Rangoon (1995),Adventure|Drama|War
movieId 156,Blue in the Face (1995),Comedy|Drama
movieId 157,Canadian Bacon (1995),Comedy|War
movieId 158,Casper (1995),Adventure|Children
movieId 159,Clockers (1995),Crime|Drama|Mystery
movieId 160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
movieId 161,Crimson Tide (1995),Drama|Thriller|War
movieId 162,Crumb (1994),Documentary
movieId 163,Desperado (1995),Action|Romance|Western
movieId 164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
movieId 165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
movieId 166,"Doom Generation, The (1995)",Comedy|Crime|Drama
movieId 168,First Knight (1995),Action|Drama|Romance
movieId 169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
movieId 170,Hackers (1995),Action|Adventure|Crime|Thriller
movieId 171,Jeffrey (1995),Comedy|Drama
movieId 172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
movieId 173,Judge Dredd (1995),Action|Crime|Sci-Fi
movieId 174,Jury Duty (1995),Comedy
movieId 175,Kids (1995),Drama
movieId 176,Living in Oblivion (1995),Comedy
movieId 177,Lord of Illusions (1995),Horror
movieId 178,Love & Human Remains (1993),Comedy|Drama
movieId 179,Mad Love (1995),Drama|Romance
movieId 180,Mallrats (1995),Comedy|Romance
movieId 181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
movieId 183,Mute Witness (1994),Comedy|Horror|Thriller
movieId 184,Nadja (1994),Drama
movieId 185,"Net, The (1995)",Action|Crime|Thriller
movieId 186,Nine Months (1995),Comedy|Romance
movieId 187,Party Girl (1995),Comedy
movieId 188,"Prophecy, The (1995)",Fantasy|Horror|Mystery
movieId 189,Reckless (1995),Comedy|Fantasy
movieId 190,Safe (1995),Thriller
movieId 191,"Scarlet Letter, The (1995)",Drama|Romance
movieId 193,Showgirls (1995),Drama
movieId 194,Smoke (1995),Comedy|Drama
movieId 195,Something to Talk About (1995),Comedy|Drama|Romance
movieId 196,Species (1995),Horror|Sci-Fi
movieId 198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
movieId 199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
movieId 201,Three Wishes (1995),Drama|Fantasy
movieId 202,Total Eclipse (1995),Drama|Romance
movieId 203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
movieId 204,Under Siege 2: Dark Territory (1995),Action
movieId 205,Unstrung Heroes (1995),Comedy|Drama
movieId 206,Unzipped (1995),Documentary
movieId 207,"Walk in the Clouds, A (1995)",Drama|Romance
movieId 208,Waterworld (1995),Action|Adventure|Sci-Fi
movieId 209,White Man's Burden (1995),Drama
movieId 210,Wild Bill (1995),Western
movieId 211,"Browning Version, The (1994)",Drama
movieId 212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
movieId 213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
movieId 214,Before the Rain (Pred dozhdot) (1994),Drama|War
movieId 215,Before Sunrise (1995),Drama|Romance
movieId 216,Billy Madison (1995),Comedy
movieId 217,"Babysitter, The (1995)",Drama|Thriller
movieId 218,Boys on the Side (1995),Comedy|Drama
movieId 219,"Cure, The (1995)",Drama
movieId 220,Castle Freak (1995),Horror
movieId 222,Circle of Friends (1995),Drama|Romance
movieId 223,Clerks (1994),Comedy
movieId 224,Don Juan DeMarco (1995),Comedy|Drama|Romance
movieId 225,Disclosure (1994),Drama|Thriller
movieId 227,Drop Zone (1994),Action|Thriller
movieId 228,Destiny Turns on the Radio (1995),Comedy
movieId 229,Death and the Maiden (1994),Drama|Thriller
movieId 230,Dolores Claiborne (1995),Drama|Thriller
movieId 231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
movieId 232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
movieId 233,Exotica (1994),Drama
movieId 234,Exit to Eden (1994),Comedy
movieId 235,Ed Wood (1994),Comedy|Drama
movieId 236,French Kiss (1995),Action|Comedy|Romance
movieId 237,Forget Paris (1995),Comedy|Romance
movieId 238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
movieId 239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
movieId 240,Hideaway (1995),Thriller
movieId 241,Fluke (1995),Children|Drama
movieId 242,Farinelli: il castrato (1994),Drama|Musical
movieId 243,Gordy (1995),Children|Comedy|Fantasy
movieId 246,Hoop Dreams (1994),Documentary
movieId 247,Heavenly Creatures (1994),Crime|Drama
movieId 248,Houseguest (1994),Comedy
movieId 249,Immortal Beloved (1994),Drama|Romance
movieId 250,Heavyweights (Heavy Weights) (1995),Children|Comedy
movieId 251,"Hunted, The (1995)",Action
movieId 252,I.Q. (1994),Comedy|Romance
movieId 253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
movieId 254,Jefferson in Paris (1995),Drama
movieId 255,"Jerky Boys, The (1995)",Comedy
movieId 256,Junior (1994),Comedy|Sci-Fi
movieId 257,Just Cause (1995),Mystery|Thriller
movieId 258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
movieId 259,Kiss of Death (1995),Crime|Drama|Thriller
movieId 260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
movieId 261,Little Women (1994),Drama
movieId 262,"Little Princess, A (1995)",Children|Drama
movieId 263,Ladybird Ladybird (1994),Drama
movieId 265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
movieId 266,Legends of the Fall (1994),Drama|Romance|War|Western
movieId 267,Major Payne (1995),Comedy
movieId 269,My Crazy Life (Mi vida loca) (1993),Drama
movieId 270,Love Affair (1994),Drama|Romance
movieId 271,Losing Isaiah (1995),Drama
movieId 272,"Madness of King George, The (1994)",Comedy|Drama
movieId 273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
movieId 274,Man of the House (1995),Comedy
movieId 275,Mixed Nuts (1994),Comedy
movieId 276,Milk Money (1994),Comedy|Romance
movieId 277,Miracle on 34th Street (1994),Drama
movieId 278,Miami Rhapsody (1995),Comedy
movieId 279,My Family (1995),Drama
movieId 280,Murder in the First (1995),Drama|Thriller
movieId 281,Nobody's Fool (1994),Comedy|Drama|Romance
movieId 282,Nell (1994),Drama
movieId 283,New Jersey Drive (1995),Crime|Drama
movieId 284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
movieId 285,Beyond Bedlam (1993),Drama|Horror
movieId 287,Nina Takes a Lover (1994),Comedy|Romance
movieId 288,Natural Born Killers (1994),Action|Crime|Thriller
movieId 289,Only You (1994),Comedy|Romance
movieId 290,Once Were Warriors (1994),Crime|Drama
movieId 291,Poison Ivy II (1996),Drama|Thriller
movieId 292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
movieId 293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
movieId 294,"Perez Family, The (1995)",Comedy|Romance
movieId 295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
movieId 296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
movieId 298,Pushing Hands (Tui shou) (1992),Drama
movieId 299,Priest (1994),Drama
movieId 300,Quiz Show (1994),Drama
movieId 301,Picture Bride (Bijo photo) (1994),Drama|Romance
movieId 302,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
movieId 303,"Quick and the Dead, The (1995)",Action|Thriller|Western
movieId 304,Roommates (1995),Comedy|Drama
movieId 305,Ready to Wear (Pret-A-Porter) (1994),Comedy
movieId 306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
movieId 307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
movieId 308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
movieId 310,Rent-a-Kid (1995),Comedy
movieId 311,Relative Fear (1994),Horror|Thriller
movieId 312,Stuart Saves His Family (1995),Comedy
movieId 313,"Swan Princess, The (1994)",Animation|Children
movieId 314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
movieId 315,"Specialist, The (1994)",Action|Drama|Thriller
movieId 316,Stargate (1994),Action|Adventure|Sci-Fi
movieId 317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
movieId 318,"Shawshank Redemption, The (1994)",Crime|Drama
movieId 319,Shallow Grave (1994),Comedy|Drama|Thriller
movieId 320,Suture (1993),Film-Noir|Thriller
movieId 321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
movieId 322,Swimming with Sharks (1995),Comedy|Drama
movieId 324,"Sum of Us, The (1994)",Comedy|Drama
movieId 325,National Lampoon's Senior Trip (1995),Comedy
movieId 326,To Live (Huozhe) (1994),Drama
movieId 327,Tank Girl (1995),Action|Comedy|Sci-Fi
movieId 328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
movieId 329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
movieId 330,Tales from the Hood (1995),Action|Crime|Horror
movieId 331,Tom & Viv (1994),Drama
movieId 332,Village of the Damned (1995),Horror|Sci-Fi
movieId 333,Tommy Boy (1995),Comedy
movieId 334,Vanya on 42nd Street (1994),Drama
movieId 335,Underneath (1995),Mystery|Thriller
movieId 336,"Walking Dead, The (1995)",Drama|War
movieId 337,What's Eating Gilbert Grape (1993),Drama
movieId 338,Virtuosity (1995),Action|Sci-Fi|Thriller
movieId 339,While You Were Sleeping (1995),Comedy|Romance
movieId 340,"War, The (1994)",Adventure|Drama|War
movieId 341,Double Happiness (1994),Drama
movieId 342,Muriel's Wedding (1994),Comedy
movieId 343,"Baby-Sitters Club, The (1995)",Children
movieId 344,Ace Ventura: Pet Detective (1994),Comedy
movieId 345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
movieId 346,Backbeat (1993),Drama|Musical
movieId 347,Bitter Moon (1992),Drama|Film-Noir|Romance
movieId 348,Bullets Over Broadway (1994),Comedy
movieId 349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
movieId 350,"Client, The (1994)",Drama|Mystery|Thriller
movieId 351,"Corrina, Corrina (1994)",Comedy|Drama|Romance
movieId 352,Crooklyn (1994),Comedy|Drama
movieId 353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
movieId 354,Cobb (1994),Drama
movieId 355,"Flintstones, The (1994)",Children|Comedy|Fantasy
movieId 356,Forrest Gump (1994),Comedy|Drama|Romance|War
movieId 357,Four Weddings and a Funeral (1994),Comedy|Romance
movieId 358,Higher Learning (1995),Drama
movieId 359,I Like It Like That (1994),Comedy|Drama|Romance
movieId 360,I Love Trouble (1994),Action|Comedy
movieId 361,It Could Happen to You (1994),Comedy|Drama|Romance
movieId 362,"Jungle Book, The (1994)",Adventure|Children|Romance
movieId 363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
movieId 364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
movieId 365,Little Buddha (1993),Drama
movieId 366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
movieId 367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
movieId 368,Maverick (1994),Adventure|Comedy|Western
movieId 369,Mrs. Parker and the Vicious Circle (1994),Drama
movieId 370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
movieId 371,"Paper, The (1994)",Comedy|Drama
movieId 372,Reality Bites (1994),Comedy|Drama|Romance
movieId 373,Red Rock West (1992),Thriller
movieId 374,Richie Rich (1994),Children|Comedy
movieId 376,"River Wild, The (1994)",Action|Thriller
movieId 377,Speed (1994),Action|Romance|Thriller
movieId 378,Speechless (1994),Comedy|Romance
movieId 379,Timecop (1994),Action|Sci-Fi|Thriller
movieId 380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
movieId 381,When a Man Loves a Woman (1994),Drama|Romance
movieId 382,Wolf (1994),Drama|Horror|Romance|Thriller
movieId 383,Wyatt Earp (1994),Western
movieId 384,Bad Company (1995),Action|Crime|Drama
movieId 385,"Man of No Importance, A (1994)",Drama
movieId 386,S.F.W. (1994),Drama
movieId 387,"Low Down Dirty Shame, A (1994)",Action|Comedy
movieId 388,Boys Life (1995),Drama
movieId 389,"Colonel Chabert, Le (1994)",Drama|Romance|War
movieId 390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
movieId 391,Jason's Lyric (1994),Crime|Drama
movieId 393,Street Fighter (1994),Action|Adventure|Fantasy
movieId 405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
movieId 406,Federal Hill (1994),Drama
movieId 407,In the Mouth of Madness (1995),Horror|Thriller
movieId 408,8 Seconds (1994),Drama
movieId 409,Above the Rim (1994),Crime|Drama
movieId 410,Addams Family Values (1993),Children|Comedy|Fantasy
movieId 412,"Age of Innocence, The (1993)",Drama
movieId 413,Airheads (1994),Comedy
movieId 414,"Air Up There, The (1994)",Comedy
movieId 415,Another Stakeout (1993),Comedy|Thriller
movieId 416,Bad Girls (1994),Western
movieId 417,Barcelona (1994),Comedy|Romance
movieId 418,Being Human (1993),Drama
movieId 419,"Beverly Hillbillies, The (1993)",Comedy
movieId 420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
movieId 421,Black Beauty (1994),Adventure|Children|Drama
movieId 422,Blink (1994),Thriller
movieId 423,Blown Away (1994),Action|Thriller
movieId 424,Blue Chips (1994),Drama
movieId 425,Blue Sky (1994),Drama|Romance
movieId 426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
movieId 427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
movieId 428,"Bronx Tale, A (1993)",Drama
movieId 429,Cabin Boy (1994),Comedy
movieId 430,Calendar Girl (1993),Comedy|Drama
movieId 431,Carlito's Way (1993),Crime|Drama
movieId 432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
movieId 433,Clean Slate (1994),Comedy
movieId 434,Cliffhanger (1993),Action|Adventure|Thriller
movieId 435,Coneheads (1993),Comedy|Sci-Fi
movieId 436,Color of Night (1994),Drama|Thriller
movieId 437,Cops and Robbersons (1994),Comedy
movieId 438,"Cowboy Way, The (1994)",Action|Comedy|Drama
movieId 440,Dave (1993),Comedy|Romance
movieId 441,Dazed and Confused (1993),Comedy
movieId 442,Demolition Man (1993),Action|Adventure|Sci-Fi
movieId 444,Even Cowgirls Get the Blues (1993),Comedy|Romance
movieId 445,Fatal Instinct (1993),Comedy
movieId 446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
movieId 448,Fearless (1993),Drama
movieId 449,Fear of a Black Hat (1994),Comedy
movieId 450,With Honors (1994),Comedy|Drama
movieId 451,Flesh and Bone (1993),Drama|Mystery|Romance
movieId 452,Widows' Peak (1994),Drama
movieId 453,For Love or Money (1993),Comedy|Romance
movieId 454,"Firm, The (1993)",Drama|Thriller
movieId 455,Free Willy (1993),Adventure|Children|Drama
movieId 456,Fresh (1994),Crime|Drama|Thriller
movieId 457,"Fugitive, The (1993)",Thriller
movieId 458,Geronimo: An American Legend (1993),Drama|Western
movieId 459,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
movieId 460,Getting Even with Dad (1994),Comedy
movieId 461,Go Fish (1994),Drama|Romance
movieId 464,Hard Target (1993),Action|Adventure|Crime|Thriller
movieId 466,Hot Shots! Part Deux (1993),Action|Comedy|War
movieId 467,Live Nude Girls (1995),Comedy
movieId 468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
movieId 469,"House of the Spirits, The (1993)",Drama|Romance
movieId 470,House Party 3 (1994),Comedy
movieId 471,"Hudsucker Proxy, The (1994)",Comedy
movieId 472,I'll Do Anything (1994),Comedy|Drama
movieId 473,In the Army Now (1994),Comedy|War
movieId 474,In the Line of Fire (1993),Action|Thriller
movieId 475,In the Name of the Father (1993),Drama
movieId 476,"Inkwell, The (1994)",Comedy|Drama
movieId 477,What's Love Got to Do with It? (1993),Drama|Musical
movieId 478,Jimmy Hollywood (1994),Comedy|Crime|Drama
movieId 479,Judgment Night (1993),Action|Crime|Thriller
movieId 480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
movieId 481,Kalifornia (1993),Drama|Thriller
movieId 482,Killing Zoe (1994),Crime|Drama|Thriller
movieId 484,Lassie (1994),Adventure|Children
movieId 485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
movieId 486,Life with Mikey (1993),Comedy
movieId 487,Lightning Jack (1994),Comedy|Western
movieId 488,M. Butterfly (1993),Drama|Romance
movieId 489,Made in America (1993),Comedy
movieId 490,Malice (1993),Thriller
movieId 491,"Man Without a Face, The (1993)",Drama
movieId 492,Manhattan Murder Mystery (1993),Comedy|Mystery
movieId 493,Menace II Society (1993),Action|Crime|Drama
movieId 494,Executive Decision (1996),Action|Adventure|Thriller
movieId 495,In the Realm of the Senses (Ai no corrida) (1976),Drama
movieId 496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
movieId 497,Much Ado About Nothing (1993),Comedy|Romance
movieId 499,Mr. Wonderful (1993),Comedy|Romance
movieId 500,Mrs. Doubtfire (1993),Comedy|Drama
movieId 501,Naked (1993),Drama
movieId 502,"Next Karate Kid, The (1994)",Action|Children|Romance
movieId 504,No Escape (1994),Action|Drama|Sci-Fi
movieId 505,North (1994),Comedy
movieId 506,Orlando (1992),Drama|Fantasy|Romance
movieId 507,"Perfect World, A (1993)",Crime|Drama|Thriller
movieId 508,Philadelphia (1993),Drama
movieId 509,"Piano, The (1993)",Drama|Romance
movieId 510,Poetic Justice (1993),Drama
movieId 511,"Program, The (1993)",Action|Drama
movieId 512,"Puppet Masters, The (1994)",Horror|Sci-Fi
movieId 513,Radioland Murders (1994),Comedy|Mystery|Romance
movieId 514,"Ref, The (1994)",Comedy
movieId 515,"Remains of the Day, The (1993)",Drama|Romance
movieId 516,Renaissance Man (1994),Comedy|Drama
movieId 517,Rising Sun (1993),Action|Drama|Mystery
movieId 518,"Road to Wellville, The (1994)",Comedy
movieId 519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
movieId 520,Robin Hood: Men in Tights (1993),Comedy
movieId 521,Romeo Is Bleeding (1993),Crime|Thriller
movieId 522,Romper Stomper (1992),Action|Drama
movieId 523,Ruby in Paradise (1993),Drama
movieId 524,Rudy (1993),Drama
movieId 526,"Savage Nights (Nuits fauves, Les) (1992)",Drama
movieId 527,Schindler's List (1993),Drama|War
movieId 528,"Scout, The (1994)",Comedy|Drama
movieId 529,Searching for Bobby Fischer (1993),Drama
movieId 531,"Secret Garden, The (1993)",Children|Drama
movieId 532,Serial Mom (1994),Comedy|Crime|Horror
movieId 533,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
movieId 534,Shadowlands (1993),Drama|Romance
movieId 535,Short Cuts (1993),Drama
movieId 536,"Simple Twist of Fate, A (1994)",Drama
movieId 537,Sirens (1994),Drama
movieId 538,Six Degrees of Separation (1993),Drama
movieId 539,Sleepless in Seattle (1993),Comedy|Drama|Romance
movieId 540,Sliver (1993),Thriller
movieId 541,Blade Runner (1982),Action|Sci-Fi|Thriller
movieId 542,Son in Law (1993),Comedy|Drama|Romance
movieId 543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
movieId 544,Striking Distance (1993),Action|Crime
movieId 546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
movieId 547,Surviving the Game (1994),Action|Adventure|Thriller
movieId 548,Terminal Velocity (1994),Action|Mystery|Thriller
movieId 549,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
movieId 550,Threesome (1994),Comedy|Romance
movieId 551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
movieId 552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
movieId 553,Tombstone (1993),Action|Drama|Western
movieId 555,True Romance (1993),Crime|Thriller
movieId 556,"War Room, The (1993)",Documentary
movieId 558,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
movieId 562,Welcome to the Dollhouse (1995),Comedy|Drama
movieId 563,Germinal (1993),Drama|Romance
movieId 564,Chasers (1994),Comedy
movieId 567,Kika (1993),Comedy|Drama
